step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.15607418,-0.09477662,0.026719028,-0.0022918992,-0.00562213,-0.9999815,1.0,0.0,0.0,8.69061e-05,-0.010899444,0.0014104843,0.002413392,0.014278293,0.006805152,5.9447153e-05,-0.011336764,0.0024691224,0.00018334389,0.01718092,0.00687327,0.00021470687,-0.055586465,0.006822426,0.021663165,0.07653754,0.031184947,0.0005700417,-0.057766605,0.011741234,0.006700534,0.10757142,0.03190244,0.026037693,0.17850569,-1.1929803,-0.11543497,-2.659664,1.6658429,-0.14675932,1.1027536,-1.5938357,-0.4598938,-3.1214411,0.6065278
2,0.16545399,0.11626463,0.048415426,0.00033693836,-0.012930288,-0.9999163,1.0,0.0,0.0,0.00013027733,-0.025010457,-0.0057587028,0.0041725636,0.028503,0.026521286,-0.0012856674,-0.024678193,-0.0052539706,-0.0008558035,0.04455793,0.01780076,0.0002430732,-0.061176337,-0.041492283,-0.0057894373,0.053125065,0.08308696,-0.007974746,-0.06081559,-0.058220953,-0.0047995844,0.15733555,0.05149719,0.84567046,0.025747478,-1.1969748,0.27874294,-4.2315483,0.48917976,1.142969,2.3605275,-2.328462,-1.7629195,-3.72426,1.5764891
3,-0.09677817,0.3091612,0.059483603,0.009992754,-0.0125217745,-0.9998716,1.0,0.0,0.0,0.008301174,-0.025687365,-0.016980171,0.004381299,0.035215914,0.03171532,0.007628506,-0.027544906,-0.019926488,-0.006635189,0.06748217,0.031944066,0.042553093,0.014047416,-0.057807326,0.0020728854,0.021136539,0.021724386,0.04822536,0.011633579,-0.07929026,-0.048089694,0.09019376,0.06548259,1.2645416,0.09671886,-0.7705713,-0.085920714,-4.1297398,-0.6987989,1.0872716,2.676828,-2.9313004,-0.74801,-3.573849,0.5511125
4,-0.21936654,0.3429899,0.12182203,0.023279853,-0.0046868273,-0.99971795,1.0,0.0,0.0,0.020552836,-0.022087954,-0.023958623,0.0023669004,0.03632891,0.025247775,0.017287053,-0.015075622,-0.042493105,-0.011701703,0.08214086,0.03615301,0.060067195,0.010873216,-0.029132662,-0.007663132,-0.0044559357,-0.036170512,0.050610956,0.07760431,-0.120887436,-0.031901907,0.065380275,0.022411114,1.4484037,0.05929704,-1.0224292,-1.5746704,-4.7491126,-0.17396486,-0.39672828,2.507843,-2.8468034,1.0375272,-3.4146254,-0.15147883
5,-0.18197677,0.3401009,0.053914078,0.037058104,0.0030174188,-0.99930847,1.0,0.0,0.0,0.03391647,-0.02151047,-0.029280126,-0.010231137,0.03272146,0.02303726,0.014425052,-0.0018170999,-0.0685122,-0.0050988197,0.09399134,0.033864394,0.06603878,0.001704302,-0.030808805,-0.074115984,-0.027094496,-0.011037382,-0.021986261,0.05766971,-0.124803804,0.049392175,0.05596732,-0.012060119,1.0165309,0.18064077,-1.0667049,-2.1995022,-5.430108,0.23320112,-1.1597657,2.4964628,-2.497365,1.7041844,-3.0140111,0.08319616
6,-0.1285376,0.29472813,-0.008243202,0.049447775,0.008625849,-0.9987395,1.0,0.0,0.0,0.042623356,-0.020690307,-0.035262108,-0.03014183,0.02460593,0.024892459,0.003058898,0.0038872086,-0.089138925,0.010294437,0.102285326,0.03381532,0.042449784,0.0070218327,-0.03271715,-0.1022793,-0.049663223,0.009817142,-0.05820346,0.017403893,-0.08822919,0.079949066,0.032251894,2.9769951e-06,0.25791365,0.18945824,-1.2848961,-1.9574332,-5.182943,0.0041627884,-0.96826154,2.3024342,-2.3952363,1.6732297,-2.745124,0.58422995
7,-0.084574245,0.28887028,-0.030348167,0.0607784,0.012026227,-0.9980788,1.0,0.0,0.0,0.043783788,-0.022131067,-0.04414189,-0.048094273,0.011922896,0.024680844,-0.006626598,0.004091689,-0.103607714,0.025986433,0.10629386,0.038581397,0.0026228677,-0.0017185744,-0.047922343,-0.08926927,-0.072814435,-0.0015024012,-0.04614673,-0.0036553561,-0.07295975,0.07971617,0.012835363,0.024305388,-0.21243198,0.30728543,-1.4553142,-1.5031759,-4.3639164,-0.21893597,-0.2683026,1.8427248,-2.3134882,1.3358104,-2.7259374,0.50538164
8,-0.08541375,0.270544,-0.04942257,0.07163584,0.01571897,-0.99730694,1.0,0.0,0.0,0.040046867,-0.019519052,-0.05531913,-0.061391473,-0.005251527,0.022155333,-0.009184612,0.0016264755,-0.114689946,0.03835535,0.10771614,0.042609345,-0.019125465,0.015171177,-0.056647956,-0.063588925,-0.094869524,-0.01277072,-0.011313295,-0.017379504,-0.05304336,0.059636593,0.010155764,0.019801395,-0.5222815,0.49377787,-1.5201643,-1.0425532,-3.6317134,-0.18464172,0.35908738,1.4221087,-2.1169617,0.9311532,-2.811477,0.22726233
9,-0.07968023,0.23484838,0.033453446,0.08184217,0.017703542,-0.99648803,1.0,0.0,0.0,0.033464212,-0.019774718,-0.06760639,-0.066182375,-0.026787877,0.020510744,-0.005442193,-0.0073203067,-0.123930335,0.046352506,0.11209124,0.04369267,-0.03323848,0.013846046,-0.05817182,-0.0028862215,-0.11410431,-0.003333167,0.018706579,-0.04655416,-0.04332116,0.036342543,0.026932618,0.0044742925,-0.80267,0.620479,-1.4890305,-0.54989266,-2.764194,-0.28490177,0.8810568,1.1447945,-1.8856204,0.4782559,-2.956628,0.17482148
